frame,possession_id,possession_frame_index,offense_team,defense_team,ball_handler_id,ball_handler_jersey,ball_handler_team,handler_zone,offense_spacing_m,defensive_pressure_m,numerical_advantage,is_fast_break,event_type,possession_change,tactical_x,tactical_y,speed_mps,distance_delta_m,predicted_action,predicted_confidence,context_risk_index,receiver_id,receiver_jersey,receiver_team,next_5f_event
49,1,7,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
50,1,8,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
51,1,9,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
52,1,10,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
53,1,11,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,STABLE_POSSESSION,,0.37,-1,,-1,NONE
54,1,12,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,STABLE_POSSESSION,,0.37,-1,,-1,NONE
55,1,13,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,STABLE_POSSESSION,,0.37,-1,,-1,NONE
56,1,14,1,2,21,5,1,COURT_ZONE_OTHER,,,0,0,NONE,0,150.8860626220703,160.45274353027344,12.0,6.199569243001174,STABLE_POSSESSION,,0.37,-1,,-1,NONE
57,1,15,1,2,21,5,1,COURT_ZONE_PAINT,51.56056493985644,,2,1,NONE,0,199.33309936523438,105.22221374511719,12.0,6.850916185437179,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
58,1,16,1,2,21,5,1,COURT_ZONE_PAINT,52.42573027068475,,2,1,NONE,0,201.7691192626953,105.19853210449219,9.926050201487518,0.22717085012395988,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
59,1,17,1,2,21,5,1,COURT_ZONE_PAINT,51.79100370970163,,2,1,NONE,0,204.20071411132812,104.3477554321289,8.838341820028816,0.24022597492802536,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
60,1,18,1,2,21,5,1,COURT_ZONE_PAINT,50.28975658194599,,2,1,NONE,0,206.0114288330078,103.52523803710938,7.528455732205107,0.18545422001565148,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
61,1,19,1,2,21,5,1,COURT_ZONE_PAINT,50.75406718341317,,2,1,NONE,0,208.51744079589844,101.29541015625,8.27070606643814,0.3128027189262564,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
62,1,20,1,2,21,5,1,COURT_ZONE_WING_RIGHT,52.356089808614435,,2,1,NONE,0,211.55340576171875,101.83809661865234,8.41353601200278,0.2875926976783247,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
63,1,21,1,2,21,5,1,COURT_ZONE_WING_RIGHT,53.04813466033663,,2,1,NONE,0,214.2154541015625,100.7870864868164,8.250732956766589,0.2668842791304101,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
64,1,22,1,2,21,5,1,COURT_ZONE_WING_RIGHT,47.79011356643682,,1,1,NONE,0,216.61647033691406,102.32874298095703,8.143351732008835,0.26607599649574004,FAST_BREAK_PUSH,,0.21,-1,,-1,NONE
65,1,23,1,2,21,5,1,COURT_ZONE_WING_RIGHT,54.409763050542395,,2,1,NONE,0,220.4832000732422,102.80803680419922,9.246019025950321,0.36333399889541845,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
66,1,24,1,2,21,5,1,COURT_ZONE_WING_RIGHT,55.48289786171688,,2,1,NONE,0,224.88880920410156,104.0638427734375,10.673886279545865,0.42718957199797275,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
67,1,25,1,2,21,5,1,COURT_ZONE_WING_RIGHT,56.027346661476294,,2,1,NONE,0,225.78944396972656,105.57510375976562,8.372972763333312,0.16405341630048267,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
68,1,26,1,2,21,5,1,COURT_ZONE_WING_RIGHT,56.861387524661794,,2,1,NONE,0,228.85595703125,104.00919342041016,8.87673793201774,0.3210795228348128,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
69,1,27,1,2,21,5,1,COURT_ZONE_WING_RIGHT,55.7584865695065,,2,1,NONE,0,230.0561981201172,103.1494369506836,6.978144627878783,0.13767515572234493,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
70,1,28,1,2,21,5,1,COURT_ZONE_WING_RIGHT,55.00750720569516,,2,1,NONE,0,231.16648864746094,105.87090301513672,7.4759128449244034,0.2740855056830944,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
71,1,29,1,2,21,5,1,COURT_ZONE_WING_RIGHT,56.00502977817884,,2,1,NONE,0,234.0400848388672,104.0130386352539,8.314644896414302,0.3190914324549717,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
72,1,30,1,2,21,5,1,COURT_ZONE_WING_RIGHT,55.91274184396715,,2,1,NONE,0,236.5897979736328,101.18499755859375,9.249667165796588,0.3550733523290006,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
73,1,31,1,2,21,5,1,COURT_ZONE_WING_RIGHT,57.10070790858301,,2,1,NONE,0,240.58351135253906,100.30322265625,10.126422642681582,0.3813851952669693,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
74,1,32,1,2,21,5,1,COURT_ZONE_WING_RIGHT,57.88759198072942,,2,1,NONE,0,242.54994201660156,101.85954284667969,8.882079792800834,0.23385218393265703,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
75,1,33,1,2,21,5,1,COURT_ZONE_WING_RIGHT,59.26829174526375,,2,1,NONE,0,245.4881591796875,104.5848388671875,9.813707464677861,0.37370496574978007,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
76,1,34,1,2,21,5,1,COURT_ZONE_WING_RIGHT,60.694031423380956,,2,1,NONE,0,247.3035430908203,103.2659683227539,8.399150310098129,0.20924381927428437,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
77,1,35,1,2,21,5,1,COURT_ZONE_WING_RIGHT,60.681956239835834,,2,1,NONE,0,250.00022888183594,103.39328002929688,8.060459324444874,0.2517474281988331,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
78,1,36,1,2,21,5,1,COURT_ZONE_WING_RIGHT,61.573548160067524,,2,1,NONE,0,252.22052001953125,103.97564697265625,7.404838267317427,0.2140468893875418,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
79,1,37,1,2,21,5,1,COURT_ZONE_WING_RIGHT,62.55812276655473,,2,1,NONE,0,254.6294708251953,103.76781463623047,7.1485475818577076,0.2254703851222709,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
80,1,38,1,2,21,5,1,COURT_ZONE_WING_RIGHT,63.043727637453415,,2,1,NONE,0,255.66566467285156,104.80648040771484,5.930876663148135,0.13681234283612587,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
81,1,39,1,2,21,5,1,COURT_ZONE_WING_RIGHT,62.545652070846714,,2,1,NONE,0,256.9997863769531,103.9491958618164,5.333065760970884,0.1478783135901669,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
